File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Rights.statementLocal,Source,Bucketeer State,IIIF Access URL
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0001_f_001r.tif,1,sinai,f. 001r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0002_f_001v.tif,2,sinai,f. 001v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0003_f_002r.tif,3,sinai,f. 002r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0004_f_002v.tif,4,sinai,f. 002v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0005_f_003r.tif,5,sinai,f. 003r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0006_f_003v.tif,6,sinai,f. 003v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0007_f_004r.tif,7,sinai,f. 004r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0008_f_004v.tif,8,sinai,f. 004v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0009_f_005r.tif,9,sinai,f. 005r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0010_f_005v.tif,10,sinai,f. 005v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0011_f_006r.tif,11,sinai,f. 006r,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
Masters/sinaimasters/syrnf/syriac_nf_m_0033sld_syrnfm0033_0012_f_006v.tif,12,sinai,f. 006v,Text,,,,Page,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,Sinai Syriac NF M 33,,
