"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Source","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/sinaimasters/ara/arabic_0408/sld_arb0408_0001_a_1.tif","1","sinai","Front Board Outside","Front matter","","ark:/21198/z1k087nm","ark:/21198/z1k087nm/7m30930h","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 408","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k087nm%2F7m30930h",""
"Masters/sinaimasters/ara/arabic_0408/sld_arb0408_0002_b_000.tif","2","sinai","Front Board Inside","Front matter","","ark:/21198/z1k087nm","ark:/21198/z1k087nm/xr117n9r","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 408","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k087nm%2Fxr117n9r",""
"Masters/sinaimasters/ara/arabic_0408/sld_arb0408_0003_f_001r.tif","3","sinai","f. 001r","Text","","ark:/21198/z1k087nm","ark:/21198/z1k087nm/9q645w2s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 408","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k087nm%2F9q645w2s",""
"Masters/sinaimasters/ara/arabic_0408/sld_arb0408_0004_f_001v.tif","4","sinai","f. 001v","Text","","ark:/21198/z1k087nm","ark:/21198/z1k087nm/xs90sk9w","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 408","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k087nm%2Fxs90sk9w",""
"Masters/sinaimasters/ara/arabic_0408/sld_arb0408_0005_f_002r.tif","5","sinai","f. 002r","Text","","ark:/21198/z1k087nm","ark:/21198/z1k087nm/jn150119","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 408","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k087nm%2Fjn150119",""
"Masters/sinaimasters/ara/arabic_0408/sld_arb0408_0006_f_002v.tif","6","sinai","f. 002v","Text","","ark:/21198/z1k087nm","ark:/21198/z1k087nm/h177cz1d","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 408","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k087nm%2Fh177cz1d",""
"Masters/sinaimasters/ara/arabic_0408/sld_arb0408_0007_f_003r.tif","7","sinai","f. 003r","Text","","ark:/21198/z1k087nm","ark:/21198/z1k087nm/mp27ds2k","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 408","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k087nm%2Fmp27ds2k",""
"Masters/sinaimasters/ara/arabic_0408/sld_arb0408_0008_f_003v.tif","8","sinai","f. 003v","Text","","ark:/21198/z1k087nm","ark:/21198/z1k087nm/r9401933","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 408","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k087nm%2Fr9401933",""
"Masters/sinaimasters/ara/arabic_0408/sld_arb0408_0009_f_004r.tif","9","sinai","f. 004r","Text","","ark:/21198/z1k087nm","ark:/21198/z1k087nm/4f89p54s","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 408","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k087nm%2F4f89p54s",""
"Masters/sinaimasters/ara/arabic_0408/sld_arb0408_0010_f_004v.tif","10","sinai","f. 004v","Text","","ark:/21198/z1k087nm","ark:/21198/z1k087nm/6x36235n","Page","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","Sinai Arabic 408","ingested","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k087nm%2F6x36235n",""
